brand;name;link;image;color;consist;description
London Times;Side Bodice Tie Fit-and-Flare Midi;https://www.6pm.com/p/london-times-side-bodice-tie-fit-and-flare-midi-dark-navy/product/9338220/color/34214;https://m.media-amazon.com/images/I/71iUG8N99jL._AC_SX510_.jpg;Dark Navy; 95% polyester, 5% spandex Lining: 100% polyester ;Ready for season greetings in the London Times™ Side Bodice Tie Fit-and-Flare Midi dress. Sophisticated crew neck with keyhole accent at front with short-sleeve detail at zipper closure at back. 
Bebe;Print Scuba Crepe Halter;https://www.6pm.com/p/bebe-print-scuba-crepe-halter-yellow-multi/product/9449583/color/9634;https://m.media-amazon.com/images/I/818hCyeXwpL._AC_SX510_.jpg;Yellow Multi; 96% polyester, 4% spandex ;The bebe® Print Scuba Crepe Halter dress is feminine and completely shows off a sexy side. Fabulous halter neckline with self-tie at nape and open back detail. 
Bebe;Scuba Crepe Long One Shoulder Gown;https://www.6pm.com/p/bebe-scuba-crepe-long-one-shoulder-gown-cobalt/product/9404538/color/546999;https://m.media-amazon.com/images/I/61OLBXsPJ2L._AC_SX510_.jpg;Cobalt; 95% polyester, 5% spandexLining: 100% polyester ;Flatter any figure with the bebe® Scuba Crepe Long One Shoulder Gown, perfect for the evening's accolades. One-shoulder neckline with seaming at empire waist highlights a flared long skirt. 
London Times;Print Matte Jersey Morris Maxi Dress;https://www.6pm.com/p/london-times-print-matte-jersey-morris-maxi-dress-navy-blue/product/9417758/color/3395;https://m.media-amazon.com/images/I/91gOTeubHrL._AC_SX510_.jpg;Navy/Blue; 95% polyester, 5% spandex ;Floral accents and striped details adorn this beautiful London Times™ Print Matte Jersey Morris Maxi Dress. Delicate halter neckline with sleeveless cut and pullover design. 
Tommy Hilfiger;Savanah Bloom Jersey Grommet Sleeve Dress;https://www.6pm.com/p/tommy-hilfiger-savanah-bloom-jersey-grommet-sleeve-dress-sky-captain-multi/product/9423804/color/808971;https://m.media-amazon.com/images/I/71w7CanZHQL._AC_SX510_.jpg;Sky Captain Multi; 95% polyester, 5% elastane;The Tommy Hilfiger® Savanah Bloom Jersey Grommet Sleeve Dress flaunts an eye-catching floral design with polka-dot pattern in a soft poly-blend knit so you can strut your look all season long!
Tahari by ASL;Long Sleeve Printed Swiss Dot Mini Floral Dress;https://www.6pm.com/p/tahari-by-asl-long-sleeve-printed-swiss-dot-mini-floral-dress-black-ivory-ditsy-floral/product/9399107/color/869685;https://m.media-amazon.com/images/I/81kf0sHUaTL._AC_SX510_.jpg;Black/Ivory Ditsy Floral;" 100% polyester;Lining: 100% polyester";A vibrant floral print and Swiss-dot finish make the Tahari by ASL™ Long Sleeve Printed Swiss Dot Mini Floral Dress a must-have for your contemporary wardrobe.
Aventura Clothing;Cleo Dress;https://www.6pm.com/p/aventura-clothing-cleo-dress-black/product/9152055/color/3;https://m.media-amazon.com/images/I/71HKGtZS3PL._AC_SX510_.jpg;Black; 63% polyester, 32% cotton, 5% spandex;Take on the summer with confidence with this fun Aventura® Clothing Cleo Dress.
Tommy Hilfiger;Jacquard 1/2 Zip Dress;https://www.6pm.com/p/tommy-hilfiger-jacquard-1-2-zip-dress-ivory/product/9407098/color/422;https://m.media-amazon.com/images/I/711u-b37tfL._AC_SX510_.jpg;Ivory; 98% cotton, 2% elastane;This cotton-stretch Tommy Hilfiger® Jacquard 1/2 Zip Dress offers a hooded neckline with adjustable drawstrings, short sleeves, and a straight hemline.
Cupcakes and Cashmere;Ferrara Dress;https://www.6pm.com/p/cupcakes-and-cashmere-ferrara-dress-ivory/product/9425194/color/422;https://m.media-amazon.com/images/I/81SPFs3FvbL._AC_SX510_.jpg;Ivory;" 100% polyester;Lining: 100% rayon";Make the most of each summer day wearing the Cupcakes and Cashmere™ Ferrara Dress with ruffle detail and an allover floral design.
MICHAEL Michael Kors;Aziza Short Sleeve Tie Twist Dress;https://www.6pm.com/p/michael-michael-kors-aziza-short-sleeve-tie-twist-dress-true-navy-sea-green/product/9299133/color/835729;https://m.media-amazon.com/images/I/91tRw1sOJmL._AC_SX510_.jpg;True Navy/Sea Green; 95% polyester, 5% elastane ;This easy MICHAEL Michael Kors® Aziza Short Sleeve Tie Twist Dress can be dressed up or down! 
